option_id,person_id,identity_key,status,identity_scope,rationale,editor_note
"idopt-0107","nt-people-0107","Felix@Act.23.24-=G5344","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0108","nt-people-0108","Festus@Act.24.27-=G5347","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0109","nt-people-0109","Fortunatus@1Co.16.17-=G5415","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0110","nt-people-0110","Gad@Gen.30.11-Rev=H1410G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0111","nt-people-0111","Gaius@3Jn.1.1=G1050J","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0112","nt-people-0112","Gaius@Act.19.29=G1050G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0113","nt-people-0113","Gaius@Act.20.4=G1050H","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0114","nt-people-0114","Gaius@Rom.16.23-1Co=G1050I","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0115","nt-people-0115","Gallio@Act.18.12-=G1058","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0116","nt-people-0116","Gamaliel@Act.5.34-=G1059","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0117","nt-people-0117","Gideon@Jdg.6.11-Heb=H1439","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0118","nt-people-0118","Hagar@Gen.16.1-Gal=H1904","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0119","nt-people-0119","Hamor@Gen.33.19-Act=H2544","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0120","nt-people-0120","Heli@Luk.3.23=G2242G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0121","nt-people-0121","Hermes@Rom.16.14a=G2060H","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0122","nt-people-0122","Hermas@Rom.16.14b=G2057","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0123","nt-people-0123","Hermogenes@2Ti.1.15=G2061","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0124","nt-people-0124","Herod@Act.12.1-=G2264I","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0125","nt-people-0125","Herod@Mat.14.1-Act=G2264H","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0126","nt-people-0126","Herod@Mat.2.1-Act=G2264G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0127","nt-people-0127","Herodias@Mat.14.3-Luk=G2266G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0128","nt-people-0128","Herodion@Rom.16.11=G2267","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0129","nt-people-0129","Hezekiah@2Ki.16.20-Mat=H2396G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
