name_id,person_id,name_text,language,source_scope,status
"name-0362","nt-people-0140","Ἰάκωβος","en","canonical","accepted"
"name-0363","nt-people-0141","James","en","canonical","accepted"
"name-0364","nt-people-0141","Ἰάκωβος","en","canonical","accepted"
"name-0365","nt-people-0142","James","en","canonical","accepted"
"name-0366","nt-people-0142","Ἰάκωβος","en","canonical","accepted"
"name-0367","nt-people-0143","James","en","canonical","accepted"
"name-0368","nt-people-0143","Ἰάκωβος","en","canonical","accepted"
"name-0369","nt-people-0144","Jannai","en","canonical","accepted"
"name-0370","nt-people-0144","Ἰαννά","en","canonical","accepted"
"name-0371","nt-people-0145","Jannes","en","canonical","accepted"
"name-0372","nt-people-0145","Ἰαννῆς","en","canonical","accepted"
"name-0373","nt-people-0146","Jared","en","canonical","accepted"
"name-0374","nt-people-0146","יֶ֫רֶד","en","canonical","pending"
"name-0375","nt-people-0146","Ἰάρεδ","grc","alias","accepted"
"name-0376","nt-people-0147","Jason","en","canonical","accepted"
"name-0377","nt-people-0147","Ἰάσων","en","canonical","accepted"
"name-0378","nt-people-0148","Javan","en","canonical","accepted"
"name-0379","nt-people-0148","יָוָן","en","canonical","pending"
"name-0380","nt-people-0148","יְוָנִי=יְוָנִי","en","alias","pending"
"name-0381","nt-people-0148","Ἕλλην=Ἕλλην","grc","alias","accepted"
"name-0382","nt-people-0148","Ἕλλην=Ἕλλην","en","alias","accepted"
"name-0383","nt-people-0148","Ἑλληνίς=Ἑλληνίς","en","alias","accepted"
"name-0384","nt-people-0149","Jehoiachin","en","canonical","accepted"
"name-0385","nt-people-0149","יְהוֹיָכִין","en","canonical","pending"
"name-0386","nt-people-0149","יוֹיָכִין","en","variant","pending"
"name-0387","nt-people-0149","יְכוֹנְיָה","en","canonical","pending"
"name-0388","nt-people-0149","כׇּנְיָהוּ","en","canonical","pending"
"name-0389","nt-people-0149","שַׁלּוּם","en","canonical","pending"
"name-0390","nt-people-0149","Ἰεχονίας","grc","alias","accepted"
"name-0391","nt-people-0150","Jehoiada","en","canonical","accepted"
"name-0392","nt-people-0150","יְהוֹיָדָע","en","canonical","pending"
"name-0393","nt-people-0150","Βαραχίας","grc","alias","accepted"
"name-0394","nt-people-0151","Jehoram","en","canonical","accepted"
"name-0395","nt-people-0151","יְהוֹרָם","en","canonical","pending"
"name-0396","nt-people-0151","יוֹרָם","en","canonical","pending"
"name-0397","nt-people-0151","Ἰωράμ","grc","alias","accepted"
"name-0398","nt-people-0152","Jehoshaphat","en","canonical","accepted"
"name-0399","nt-people-0152","יְהוֹשָׁפָט","en","canonical","pending"
"name-0400","nt-people-0152","Ἰωσαφάτ","grc","alias","accepted"
"name-0401","nt-people-0153","Jephthah","en","canonical","accepted"
"name-0402","nt-people-0153","יִפְתָּח","en","canonical","pending"
"name-0403","nt-people-0153","Ἰεφθάε","grc","alias","accepted"
"name-0404","nt-people-0154","Jeremiah","en","canonical","accepted"
"name-0405","nt-people-0154","יִרְמְיָ֫הוּ","en","canonical","pending"
"name-0406","nt-people-0154","Ἱερεμίας","grc","alias","accepted"
"name-0407","nt-people-0154","Ἱερεμίας","en","alias","accepted"
"name-0408","nt-people-0155","Jesse","en","canonical","accepted"
"name-0409","nt-people-0155","יִשַׁי","en","canonical","pending"
"name-0410","nt-people-0155","Ἰεσσαί","grc","alias","accepted"
"name-0411","nt-people-0156","Jesus","en","canonical","accepted"
"name-0412","nt-people-0156","Ἰησοῦς","en","canonical","accepted"
