assertion_id,subject_person_id,object_person_id,relation_type,relation_subtype,direction,status,confidence,editorial_status
"asrt-0178","nt-people-0297","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0179","nt-people-0325","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0180","nt-people-0204","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0181","nt-people-0184","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0182","nt-people-0249","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0183","nt-people-0110","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0184","nt-people-0045","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0185","nt-people-0136","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0186","nt-people-0365","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0187","nt-people-0176","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0188","nt-people-0057","nt-people-0135","kinship","child","directed","inactive","0.8","pending"
"asrt-0189","nt-people-0135","nt-people-0100","kinship","sibling","undirected","inactive","0.8","pending"
